t (s),P (Pa)
0.0,0.006015030313003176
5e-05,0.0034720483356970562
0.0001,-0.005888426341908193
0.00015000000000000001,0.01922924198296412
0.0002,-0.007884943551782552
0.00025,-0.02025558115085964
0.00030000000000000003,-0.006725946823458189
0.00035,-0.013601938745447018
0.0004,-0.03126463012068088
0.00045000000000000004,-0.021898756997875427
0.0005,-0.014469377406442663
0.00055,-0.009779052451174396
0.0006000000000000001,-0.021622026133819694
0.0006500000000000001,-0.016045186754162555
0.0007,0.013625306844854228
0.00075,0.0003590808173144493
0.0008,0.008639623530602098
0.0008500000000000001,0.019714251357687954
0.0009000000000000001,0.027908949490398727
0.00095,0.015835180252477165
0.001,0.010534533664720529
0.0010500000000000002,0.015420450422432272
0.0011,0.008725198110294846
0.00115,0.019334812849014883
0.0012000000000000001,0.011030558644492627
0.00125,0.003594467716686884
0.0013000000000000002,0.020916949423430486
0.00135,0.006653304896384536
0.0014,0.007904035751312821
0.0014500000000000001,-0.018650260857047685
0.0015,-0.018093330434174916
0.0015500000000000002,-0.012017951602261424
0.0016,-0.014346403977095853
0.00165,-0.01837824489282868
0.0017000000000000001,0.0002458635547219479
0.00175,-0.02113442132382061
0.0018000000000000002,-0.025766004734850204
0.00185,-0.007908420162375529
0.0019,-0.004871155889914965
0.0019500000000000001,0.0031246353096275542
0.002,0.01154470497168501
0.00205,0.019282723549828087
0.0021000000000000003,0.022277828064082135
0.00215,0.016070841951332522
0.0022,0.015218124927007016
0.0022500000000000003,0.03022718453713206
0.0023,0.019832931770079637
0.00235,0.0069448306587401275
0.0024000000000000002,-0.00257611546404847
0.00245,0.0139157123601594
0.0025,0.008743296684323108
0.00255,0.009469458941048902
0.0026000000000000003,0.007614754953688193
0.00265,0.0076766292296865215
0.0027,-0.042909828245906986
0.0027500000000000003,-0.019054357108860134
0.0028,-0.013726111798556982
0.00285,-0.028478472034882116
0.0029000000000000002,-5.801137922865213e-05
0.00295,-0.0019109840695786043
0.003,-0.022950624038246416
0.00305,-0.01685273060406097
0.0031000000000000003,-0.014134554464427688
0.00315,-0.008250757054988095
0.0032,0.0036966334082596834
0.0032500000000000003,-0.0058052646436796695
0.0033,0.024556848897940804
0.00335,0.014671317790490504
0.0034000000000000002,0.017358442610036787
0.0034500000000000004,0.018390608610613774
0.0035,0.026312061527433168
0.00355,0.01790454736353869
0.0036000000000000003,0.011062395004832953
0.00365,-0.002845557398365957
0.0037,0.0030790464180704795
0.0037500000000000003,-0.018930642709448435
0.0038,-0.0147388292198635
0.00385,0.0072565967844085135
0.0039000000000000003,-0.007322611338643726
0.00395,-0.007462167025281052
0.004,-0.0008136798916536393
0.00405,-0.022724548497537876
0.0041,-0.018894990283997003
0.00415,-0.010760925807215412
0.004200000000000001,-0.029495998288401975
0.00425,-0.0092781880556583
0.0043,0.002033714080907585
0.004350000000000001,-0.01994897697402321
0.0044,-0.020176041033936047
0.00445,0.0018735080566668221
0.0045000000000000005,-0.0031676845281839493
0.00455,0.011532316919142988
0.0046,0.02965590866556288
0.0046500000000000005,0.015687254725363267
0.0047,0.016526032117623372
0.00475,0.03355525930504472
0.0048000000000000004,0.019276377422518892
0.00485,0.008234175512988646
0.0049,0.024091544504954848
0.00495,0.015990854051858815
0.005,0.0037910772986742792
0.005050000000000001,0.011372673828280385
0.0051,-0.019791066346618678
0.00515,0.014150434996512404
0.005200000000000001,-0.023497361937701466
0.00525,-0.02185848296675382
0.0053,-0.030546520597634276
0.005350000000000001,-0.0081957528923725
0.0054,-0.017135757914990835
0.00545,-0.0351999696176771
0.0055000000000000005,-0.013919321907225286
0.00555,0.014253970531205383
0.0056,-0.014899446428444253
0.0056500000000000005,0.01815362030320323
0.0057,0.018359405098406507
0.00575,-0.01564356616146411
0.0058000000000000005,0.014424923802935037
0.00585,0.004367611952439964
0.0059,0.0006395074692500703
0.00595,0.03072207889036193
0.006,0.020534610878686202
0.006050000000000001,0.031515245425618475
0.0061,0.018304220336214923
0.00615,0.02499225921625221
0.006200000000000001,0.010096786930456157
0.00625,0.010639845368294857
0.0063,-0.00656580262826821
0.006350000000000001,0.013488764407116282
0.0064,-0.011880564481270704
0.00645,-0.01242558726584585
0.006500000000000001,-0.01641141681286452
